"
                        双狼
                       ",2024,6.4
"
                        因果报应
                       ",2024,8.6
"
                        但愿人长久
                       ",2023,7.6
"
                        捉刀人
                       ",2024,9.0
"
                        小丑2：双重妄想
                       ",2024,7.1
"
                        死侍与金刚狼
                       ",2024,7.0
"
                        从21世纪安全撤离
                       ",2024,7.4
